street_number,actual_street_name,Suburb,lprice_diff,lrents_diff,lgroundrents_diff,d_1895,d_1896,d_1897,d_1898,d_1899,d_1900,d_1901,d_1902,d_1903,d_1904,d_1905,d_1906,d_1907,d_1908,d_1909,d_1910,d_1911,d_1912,d_1913,d_1914
2,PORTLAND STREET,SOHO,0.433635985,0,,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,GILLINGHAM STREET,PIMLICO,-0.033901552,-0.143100844,,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,LYNTON ROAD,BERMONDSEY,-0.204095356,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,TUFNELL PARK ROAD,HOLLOWAY,0.070617567,,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,ESTCOURT ROAD,FULHAM,-0.308735482,0.068992872,,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,HIGHBURY NEW PARK,HIGHBURY,-0.257222865,-0.125163143,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,CLAYBROOKE ROAD,FULHAM,0.120627988,0.080042708,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,MARGARET STREET,CLERKENWELL,-0.552068582,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,MARLBOROUGH ROAD,HOLLOWAY,-0.143706721,0,,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,MEDIAN ROAD,CLAPTON,0.015267472,0.182321557,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,LANGHAM ROAD,TOTTENHAM,0.268263987,0.268263987,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,BLESSINGTON ROAD,LEE,-0.693147181,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,UPPER TULSE HILL,BRIXTON,-0.374693449,,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
121,ENGLEFIELD ROAD,ISLINGTON,-0.304489191,0.042559614,0.040821995,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,ST. AGNES PLACE,KENNINGTON,-0.040821995,0.117783036,,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,BOXWORTH GROVE,BARNSBURY,-0.330241687,0.117783036,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,NETTLETON ROAD,NEW CROSS,-0.42956266,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,WENLOCK STREET,HOXTON,-0.215708573,0.054067221,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,HIGH STREET,PLAISTOW,-0.328857987,0,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161,DEVONSHIRE ROAD,FOREST HILL,-0.910211686,,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,GREVILLE PLACE,MAIDA VALE,0.764606145,0.510825624,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,SIDNEY STREET,MILE END,0.570544859,0.792992516,-0.916290732,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,TANNER'S HILL,DEPTFORD,-0.271152771,0.048790164,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,ERSKINE ROAD,WALTHAMSTOW,-0.229574442,0.167054085,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186,UPPER THAMES STREET,CITY,-2.197224577,,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
234,CAMBERWELL ROAD,CAMBERWELL,-1.969440646,-0.470003629,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,ARLINGFORD ROAD,BRIXTON,-0.271933715,0.133531393,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,GLOUCESTER ROAD,HOLLOWAY,-0.242946179,-0.444685821,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,QUEEN'S TERRACE,ST. JOHN'S WOOD,-1.304056263,-0.074107972,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
